우이신설선,화계,6,1,2080,483,4089,1258,11878,2290,13666,4617,8558,4361,6392,4455,6437,4001,6686,4471,5957,4660,5117,4813,5015,4954,5212,6373,5243,6993,4312,10093,3230,9667,2192,6029,1792,5094,1063,4783,597,3025,110,887,0,0,0,0,0,0
일산선,대화,117,1,6812,1639,28074,6221,68242,15008,49958,22226,33771,17571,28302,15982,26643,17236,25523,18845,24052,20979,23147,19372,24750,22697,26260,20486,29910,26574,30153,31586,16024,36422,12723,25201,11199,22308,8875,22020,3001,14958,398,5924,1,1034,0,0,0,0
7호선,건대입구,61,2,4583,816,5226,8067,13183,19477,21559,37077,17527,34228,14659,25808,17185,25806,19429,30865,21709,31859,24860,30388,30382,29324,35599,30659,45357,36142,44693,53921,34573,41071,37058,21179,34248,17069,32393,14500,17357,8374,2892,4786,0,325,0,0,0,0
중앙선,운길산,0,0,264,210,909,767,1851,978,2127,1635,1320,2128,1291,2227,1487,2118,1492,2023,1842,1114,2215,1381,2358,1357,2301,1416,2208,1355,1648,1514,1247,1535,1180,866,570,899,216,799,73,551,2,166,0,0,0,0,0,0
일산선,마두,28,0,3276,1690,9739,6197,17728,9201,17331,23399,14338,17638,14980,14144,15950,14983,15671,13566,16009,16330,15789,16148,16755,15385,18909,15796,18868,16450,23357,20685,11603,20246,9004,11869,7468,9986,6572,10015,1851,6956,273,2508,0,0,0,0,0,0
경원선,동두천,25,0,1038,11,3402,4270,5684,8730,6905,6284,5439,3746,3803,3995,3765,4026,3568,3032,3403,3326,2972,3746,3464,4593,4064,4254,4845,6344,5417,6399,3187,5586,2040,4198,970,3197,505,3563,206,1754,2,1005,0,0,0,0,0,0
경춘선,퇴계원,19,2,2997,706,5828,1726,20188,3683,14230,5080,9871,2868,7208,2850,5394,3138,5964,4043,5396,3645,4082,4220,4289,4769,4542,6220,5005,7826,5578,13670,3505,11139,2288,7891,2177,5935,1370,6660,731,3888,33,1168,0,0,0,0,0,0
9호선,국회의사당,6,0,1122,1783,2052,9858,4458,42232,7106,143399,7713,59040,9754,26440,14249,21235,16780,20017,18281,22554,21689,17569,24936,14755,31509,12510,58293,14186,119918,15524,41527,10454,26275,6332,26412,5381,17767,4445,6399,2883,1169,1068,0,1,0,0,0,0
안산선,정왕,371,1,6403,349,9717,10416,18253,23688,16612,24019,12784,11748,11522,8722,11063,8515,11141,10279,10650,10512,10307,9911,11728,10885,13772,11540,19712,14412,25453,20940,13476,17565,10334,14266,9054,12108,4507,11555,2001,8063,264,3705,1,528,0,0,0,0
경춘선,천마산,12,1,1284,296,3782,737,7502,1882,6348,1590,5304,1340,3817,1450,2979,1460,2852,1903,2252,1893,2042,2331,1759,2596,1935,2794,2245,3908,2050,5226,1076,4745,838,3812,689,3186,475,2125,190,1609,9,434,0,0,0,0,0,0
경원선,덕정,5,0,4026,1577,10063,5193,22827,9412,23388,14117,12755,5859,10858,5193,10687,4830,10149,6625,9563,5754,7763,6891,8182,8260,9129,13548,13285,13895,12992,16582,7452,17474,5075,14116,3804,10946,2854,9153,1596,9713,183,1874,0,0,0,0,0,0
경강선,삼동,0,0,950,75,3696,898,10903,1868,13472,2088,6912,959,3966,961,2876,1239,2978,1247,2606,1359,2146,2213,1949,2210,2190,3458,3182,4624,2822,7317,1322,7975,864,5180,623,4782,447,4124,128,2118,4,53,0,0,0,0,0,0
경춘선,대성리,4,0,1011,87,1621,662,1499,886,1665,1521,1549,1284,3030,1985,7512,1713,3144,2831,1611,4639,1333,5519,1459,2725,1585,2713,2019,1730,1765,1510,1107,1300,938,986,568,621,286,604,177,293,4,9,0,0,0,0,0,0
3호선,교대(법원.검찰청),12,0,1324,658,3282,6436,8216,25107,12765,51581,11084,34252,12353,18345,16323,13337,19203,13184,22213,13029,24357,12265,26094,11123,29881,11273,41479,14506,70622,21158,31903,12755,25562,6224,28402,5068,34805,4521,9898,3008,1460,1067,0,0,0,0,0,0
